time,RLQRD_state_norm,LQR_state_norm,RLQR_state_norm,Hinf_state_norm,AEM_state_norm,RLQRD_input_norm,LQR_input_norm,RLQR_input_norm,Hinf_input_norm,AEM_input_norm,disturbance_norm
0.0,0.0,0.0,0.0,0.0,0.0,1.4142135623729215,0.0,0.0,0.0,0.0,0.0
0.01,2.828427124745843e-05,0.0,0.0,0.0,0.0,1.485517033601932,0.0,0.0,0.0,0.0,3.6651916913431144e-09
0.02,5.797371511487323e-05,3.6651916913431144e-09,3.6651916913431144e-09,3.6651916913431144e-09,3.6651916913431144e-09,1.5597621926785266,3.623660768176733e-09,1.0630993914232257e-08,1.1866162519545982e-11,0.0001829050462107478,1.5392104054655658e-08
0.03,8.910724034360241e-05,1.9054401091016412e-08,1.9054545658572234e-08,1.9054432924158915e-08,1.5399250468710533e-08,1.636520881659021,1.878065131789385e-08,5.681191858525085e-08,5.984127441501783e-11,0.0007684100892442004,3.633170009162217e-08
0.04,0.00012171771308889169,5.537131347713009e-08,5.5372234896283807e-08,5.537149622437815e-08,3.636292588150084e-08,1.715429242909207,5.438144911988704e-08,1.687843623993317e-07,1.6900167580545048e-10,0.0018143387138763712,6.769213206927113e-08
0.05,0.0001558323599969346,1.2302034787907942e-07,1.2302358831738326e-07,1.2302093339307707e-07,6.776841798162943e-08,1.7961787669242684,1.2035909105992696e-07,3.820021753360653e-07,3.6534222597027623e-10,0.00338107747841198,1.1072368994767363e-07
0.06,0.00019147314888634921,2.33648881868546e-07,2.3365738129244915e-07,2.336502992030393e-07,1.1087011387595744e-07,1.8785079888894816,2.276784676132838e-07,7.37021374143514e-07,6.75855259483513e-10,0.005531125055428983,1.6670708897010807e-07
0.07,0.0002286571443758455,4.0017842452751934e-07,4.0019705687908193e-07,4.001813340408355e-07,1.6695285650223805e-07,1.9621951179301989,3.8833570409985605e-07,1.2793903215969902e-06,1.1286033740964157e-09,0.008328504070585026,2.3694435607277143e-07
0.08,0.0002673968373048975,6.368269512964428e-07,6.368630877005283e-07,6.36832321000961e-07,2.373228092456261e-07,2.0470516707423805,6.153498008715206e-07,2.0595401931674185e-06,1.752786091893871e-09,0.011838304337964095,3.227517128666647e-07
0.09,0.00030770044788787474,9.591241626756812e-07,9.59188237142183e-07,9.591333810519523e-07,3.233003235195228e-07,2.132917067631294,9.22748227856033e-07,3.1326757405754303e-06,2.5788004788801003e-09,0.01612632648773149,4.2545398164075727e-07
0.1,0.0003495722033067811,1.3839210605107451e-06,1.3840271106270306e-06,1.383936101542932e-06,4.262143341869084e-07,2.2196540957757245,1.3255477972030259e-06,4.558666360533598e-06,3.638295851717291e-09,0.02125880197946447,5.463801496672848e-07
0.11,0.00039301259095623695,1.9293949377317986e-06,1.9295610901361413e-06,1.9294185953800373e-06,5.473979166057402e-07,2.307145126134659,1.8397318454324045e-06,6.401937476211944e-06,4.964222736582659e-09,0.027302171138337245,6.868598143658185e-07
0.12,0.00043801858886809375,2.61505064014261e-06,2.6152995080815113e-06,2.6150868508659532e-06,6.881847267430565e-07,2.395288970687588,2.482224528415052e-06,8.73136223839766e-06,6.590876274097403e-09,0.03432290529205396,8.482202997142764e-07
0.13,0.00048458387501237437,3.4617187718748976e-06,3.4620777298430217e-06,3.461773045166278e-06,8.499061139753979e-07,2.4839982760116297,3.2708628556075957e-06,1.1620153552877953e-05,8.553934286506051e-09,0.04238736250559168,1.0317842860302024e-06
0.14,0.0005326990172361533,4.491551369844971e-06,4.492052668163894e-06,4.491631348042746e-06,1.033888748183043e-06,2.573197362069862,4.2243669532013275e-06,1.5145756440215548e-05,1.0890490239365042e-08,0.0515616690082517,1.2388678342660134e-06
0.15,0.0005823516455937339,5.728015458635449e-06,5.728696138831834e-06,5.72813162853711e-06,1.2414526419429903e-06,2.6628204285734793,5.362308940278865e-06,1.938974073378137e-05,1.3639081340607767e-08,0.06191162036319603,1.470778715216068e-06
0.16,0.0006335266087638699,7.195884808746797e-06,7.1967863787321065e-06,7.196051388770194e-06,1.4739094779987481e-06,2.752810063931305,6.705080720594411e-06,2.4437694121645602e-05,1.683971202568743e-08,0.0735025978947258,1.728814975907785e-06
0.17,0.0006862061161606529,8.921230152518666e-06,8.922397978844321e-06,8.921466180334308e-06,1.7325611741379634e-06,2.8431160029981513,8.27386092964606e-06,3.037911553769447e-05,2.0533873079247754e-08,0.08639949698367426,2.0142636918031e-06
0.18,0.0007403698672371327,1.0931408058764561e-05,1.0932890431623945e-05,1.0931738705458625e-05,2.018698634014379e-06,2.9336940894138066,1.0090581227990548e-05,3.7307308907132947e-05,2.4764556642099375e-08,0.10066666465990057,2.3283998656800915e-06
0.19,0.0007959951693641754,1.3255048625810255e-05,1.3256895450978667e-05,1.3255506763730926e-05,2.3336006447275613e-06,3.024505406348891,1.2177892093952338e-05,4.531927725134428e-05,2.957626734780514e-08,0.11636784453367811,2.672485443257075e-06
0.2,0.0008530570455480864,1.592204212047028e-05,1.592430319101317e-05,1.5922670172959073e-05,2.6785328911879522e-06,3.1155155461047213,1.4559128239467784e-05,5.451561715690827e-05,3.501502982647186e-08,0.13356612756784464,3.047768422545956e-06
0.21,0.0009115283331335995,1.8963524665444026e-05,1.8966247464780537e-05,1.8964376767657993e-05,3.05474706423319e-06,3.2066939944465327,1.7258273749842974e-05,6.500041361342583e-05,4.1128392804917756e-08,0.15232390753913014,3.455482039159789e-06
0.22,0.0009713797745268991,2.2411863058051332e-05,2.2415090044832323e-05,2.241300755904086e-05,3.4634800447087264e-06,3.298013609975843,2.02999270302119e-05,7.688113522465753e-05,4.7965430022685056e-08,0.1727028402992261,3.896844013780106e-06
0.23,0.0010325801008681478,2.6300638787917184e-05,2.6304404112162757e-05,2.6302161125036758e-05,3.905953149712023e-06,3.3894501824436305,2.3709265627329603e-05,9.02685297973599e-05,5.557673817278592e-08,0.19476380614536182,4.373055851027666e-06
0.24,0.0010950961094855066,3.066463130920124e-05,3.06689569082407e-05,3.066663728679678e-05,4.383371430241227e-06,3.4809820568229672,2.7512010984156835e-05,0.00010527652031208911,6.401443206493773e-08,0.21856687476218895,4.885302181311911e-06
0.25,0.0011588927358732457,3.553980061351825e-05,3.554469163548367e-05,3.554242011865392e-05,4.89692301182305e-06,3.5725898123253708,3.173439317582635e-05,0.00012202210128014386,7.333213719763938e-08,0.24417127231345193,5.434750139031722e-06
0.26,0.0012239331208552325,4.096326914224383e-05,4.0968708644185404e-05,4.0966660331003494e-05,5.4477784714931164e-06,3.664255987464861,3.6403115668517045e-05,0.00014062523549073142,8.358497991399125e-08,0.2716353503518544,6.022548771892177e-06
