time,RLQRD_state_norm,LQR_state_norm,RLQR_state_norm,Hinf_state_norm,AEM_state_norm,RLQRD_input_norm,LQR_input_norm,RLQR_input_norm,Hinf_input_norm,AEM_input_norm,disturbance_norm
0.0,0.0,0.0,0.0,0.0,0.0,1.4142135623729215,0.0,0.0,0.0,0.0,3.84666088965482e-06
0.01,3.0207601692286074e-05,3.84666088965482e-06,3.84666088965482e-06,3.84666088965482e-06,3.84666088965482e-06,1.4855197705894496,3.8068704086877354e-06,1.0661936959552693e-05,1.2948463238778436e-08,0.1919785629503845,4.036582431596146e-06
0.02,6.191592774268558e-05,7.880875274693933e-06,7.88101021867992e-06,7.880910172403079e-06,4.30455438994054e-06,1.5597681578932716,7.753436166163613e-06,2.2198410533376875e-05,2.601440660870261e-08,0.21481378664424394,4.225875806032405e-06
0.03,9.516653268696887e-05,1.2100415597595024e-05,1.2100836648541248e-05,1.2100516455810712e-05,4.5261296767848305e-06,1.6365305486730446,1.1831296598418049e-05,3.4568618257266e-05,3.917931115200034e-08,0.22584502475688595,4.4121479014385425e-06
0.04,0.00012999451757893837,1.650118281051852e-05,1.6502051841201005e-05,1.6501379678604125e-05,4.728231278786737e-06,1.7154430686714561,1.6030492348855242e-05,4.77264595787141e-05,5.2423600678057006e-08,0.2359082982821951,4.593119383142477e-06
0.05,0.00016642896047672874,2.1077211752829435e-05,2.1078694954776384e-05,2.1077536961518857e-05,4.923667403624223e-06,1.7961971930973246,2.0339553111719315e-05,6.162065570391705e-05,6.572655881302202e-08,0.24564093519391542,4.766616406822278e-06
0.06,0.0002044933230106242,2.582068450027594e-05,2.5822945222127356e-05,2.5821176374356406e-05,5.111151179402671e-06,1.878531443227936,2.4745548693587637e-05,7.619486872123175e-05,7.906625201167045e-08,0.25497788344011124,4.930560540358451e-06
0.07,0.0002442058301934068,3.072194957484743e-05,3.072514049499098e-05,3.0722656511333485e-05,5.288512169332835e-06,1.9622240155669999,2.9234142338853294e-05,9.13878203288192e-05,9.241945866998575e-08,0.26381060799476225,5.082958452398282e-06
0.08,0.000285579822241635,3.576954534561305e-05,3.5773800077623766e-05,3.577053020811132e-05,5.4536040770577685e-06,2.0470864153213553,3.378964552152905e-05,0.00010713341045293327,1.0576160442853535e-07,0.2720319982357865,5.221892202962478e-06
0.09,0.0003286240783442554,4.095022632736195e-05,4.095565055100214e-05,4.095157111013966e-05,5.604357906224419e-06,2.1329580522657867,3.839507362372412e-05,0.00012336083602417733,1.1906670371519564e-07,0.2795388693398579,5.345510526014532e-06
